Audio_Song,Lyric_Song,Quadrant,Artist,Title,Genres
MT0000874482,MT0000874482,Q2,Lamb of God,Redneck,"Electronic,Pop/Rock"
MT0000875199,MT0000875199,Q3,R.E.M.,Sad Professor,Pop/Rock
MT0000875520,MT0000875520,Q1,Led Zeppelin,Dancing Days,"Hard Rock,Heavy Metal,British Metal,Album Rock,Pop/Rock"
MT0000886390,MT0000886390,Q1,Dolly Parton,Randy,Country
MT0000888329,MT0000888329,Q4,Bob Marley,Dreamland,Reggae
MT0000889229,MT0000889229,Q3,Elvis Costello,Everybodys Crying Mercy,"Blues,Easy Listening,Jazz,Pop/Rock"
MT0000895905,MT0000895905,Q4,John Denver,Rocky Mountain Suite,Pop/Rock
MT0000900387,MT0000900387,Q2,Ja Rule,Let's Ride,Rap
MT0000900995,MT0000900995,Q4,Ella Fitzgerald,You Go to My Head,Jazz
MT0000901959,MT0000901959,Q4,Common,Pops Rap III...All My Children,Rap
MT0000903225,MT0000903225,Q4,Eric Clapton,Hello Old Friend,Pop/Rock
MT0000906888,MT0000906888,Q4,Merle Haggard,The Way I Am,Country
MT0000920227,MT0000920227,Q4,Pat Alger,We Shall Be Free,"Country,Religious"
MT0000931402,MT0000931402,Q3,The Everly Brothers,Lonely Street,"Country,Pop/Rock"
MT0000934613,MT0000934613,Q2,Lifetime,Knives Bats New Tats,Pop/Rock
MT0000948111,MT0000948111,Q1,Elvis Presley,Hot Dog,Pop/Rock
MT0000950090,MT0000950090,Q3,Annie Lennox,The Saddest Song I've Got,Pop/Rock
MT0000954088,MT0000954088,Q1,The Andrews Sisters,"South America, Take It Away!",Vocal
MT0000956340,MT0000956340,Q2,Xzibit,Break Yourself,Rap
MT0000984023,MT0000984023,Q2,Vital Remains,Disciples of Hell,"Electronic,Pop/Rock"
MT0000992846,MT0000992846,Q1,Barenaked Ladies,Shoe Box,Pop/Rock
MT0001016068,MT0001016068,Q3,Howlin' Wolf,"Oh, Red!!",Blues
MT0001020011,MT0001020011,Q4,"Harry Connick, Jr.",What Child Is This?,"Classical,Religious"
MT0001030436,MT0001030436,Q3,Tears for Fears,When in Love With a Blind Man,
MT0001032211,MT0001032211,Q4,The Fall,Frenz,"Electronic,Pop/Rock"
MT0001042055,MT0001042055,Q4,Kenny Chesney,All I Want for Christmas Is a Real Good Tan,"Country,Holiday"
MT0001043721,MT0001043721,Q2,Wu-Tang Clan,Wu-Tang Clan Ain't Nuthing Ta F' Wit,Rap
MT0001053268,MT0001053268,Q1,Aretha Franklin,Gentle on My Mind,"Electronic,R&B"
MT0001058887,MT0001058887,Q4,Smokey Robinson,My Girl,"Pop/Rock,R&B"
MT0001062700,MT0001062700,Q3,Linda Ronstadt,I Go to Pieces,Pop/Rock
MT0001095298,MT0001095298,Q3,Leon Ashley,Laura (What's He Got That I Ain't Got),Country
MT0001101467,MT0001101467,Q2,Ludacris,Get Back,"Electronic,Rap"
MT0001102610,MT0001102610,Q3,Keith Urban,You'll Think of Me,Country
MT0001104467,MT0001104467,Q3,Rosanne Cash,Blue Moon With Heartache,"Contemporary Country,Country,Neo-Traditionalist Country"
MT0001106114,MT0001106114,Q4,Louis Armstrong,I Love Jazz,Jazz
MT0001109401,MT0001109401,Q4,Morcheeba,Moog Island,Electronic
MT0001115644,MT0001115644,Q3,Doug Stone,Gone Out of My Mind,Country
MT0001116511,MT0001116511,Q2,Hï¿½sker Dï¿½,Target,Pop/Rock
MT0001117815,MT0001117815,Q1,The Verve,Lucky Man,Pop/Rock
MT0001121577,MT0001121577,Q4,Point of Grace,Who Am I,"New Age,Religious"
MT0001134958,MT0001134958,Q3,Hank Williams,I'm So Lonesome,Country
MT0001137053,MT0001137053,Q3,Joe Jackson,Lullaby,Classical
MT0001144930,MT0001144930,Q4,Eric Clapton,Believe in Life,Pop/Rock
MT0001152165,MT0001152165,Q4,Kem,Love Calls,R&B
MT0001152664,MT0001152664,Q3,Radiohead,How to Disappear Completely,Pop/Rock
MT0001153847,MT0001153847,Q1,Elvis Presley,A Little Less Conversation,"Pop/Rock,Club/Dance,Contemporary Pop/Rock"
MT0001157069,MT0001157069,Q3,Tom Waits,The Fall of Troy,
MT0001168323,MT0001168323,Q4,Carla Thomas,All I Want for Christmas Is You,"Holiday,R&B"
MT0001169715,MT0001169715,Q1,Gene Vincent,Red Blue Jeans and a Pony Tail,Pop/Rock
MT0001183783,MT0001183783,Q4,Billie Holiday,Having Myself a Time,"Blues,Jazz,Vocal"
MT0001189913,MT0001189913,Q1,Kay Kyser,"(I Got Spurs That) Jingle, Jangle, Jingle","Easy Listening,Jazz,Vocal"
MT0001193202,MT0001193202,Q2,Megadeth,Elysian Fields,Pop/Rock
MT0001193331,MT0001193331,Q1,Neil Diamond,High Rolling Man,Pop/Rock
MT0001193971,MT0001193971,Q3,Travis Tritt,No Vacation from the Blues,Country
MT0001194164,MT0001194164,Q3,Bob Dylan,What Good Am I?,Pop/Rock
MT0001195535,MT0001195535,Q4,Willie Nelson,I've Loved You All Over the World,"Country,International,Pop/Rock"
MT0001202986,MT0001202986,Q1,Elvis Presley,One-Sided Love Affair,"Country,Pop/Rock"
MT0001217651,MT0001217651,Q1,Choppa,Choppa Style,Rap
MT0001227219,MT0001227219,Q4,Count Basie,How Long Blues,Jazz
MT0001230193,MT0001230193,Q2,Biohazard,Trap,Pop/Rock
MT0001230298,MT0001230298,Q3,Buck Owens,The One You Slip Around With,Country
MT0001243097,MT0001243097,Q4,Alabama,Angels Among Us,"Country,Country-Pop"
MT0001256033,MT0001256033,Q3,Arab Strap,One Four Seven One,Pop/Rock
MT0001265984,MT0001265984,Q3,Elton John,American Triangle,Pop/Rock
MT0001266436,MT0001266436,Q3,Eels,Restraining Order Blues,Pop/Rock
MT0001267997,MT0001267997,Q4,Arnett Cobb,When I Grow Too Old to Dream,"Blues,Jazz"
MT0001277283,MT0001277283,Q3,Alice in Chains,Brother,Pop/Rock
MT0001284282,MT0001284282,Q1,Madonna,Like a Virgin [Extended Dance Remix],"Electronic,Pop/Rock"
MT0001284801,MT0001284801,Q3,Billie Holiday,Jim,"Blues,Jazz,Vocal"
MT0001287647,MT0001287647,Q2,Riverboat Gamblers,Ice Water,Pop/Rock
MT0001292451,MT0001292451,Q1,Perry Como,Dig You Later,Vocal
MT0001297031,MT0001297031,Q3,Elbow,Station Approach,Pop/Rock
MT0001298241,MT0001298241,Q3,Lou Reed,Modern Dance,Pop/Rock
MT0001301827,MT0001301827,Q4,Etta James,Love Letters,"Blues,Jazz,R&B"
MT0001305550,MT0001305550,Q3,Bee Gees,Until,"Pop/Rock,R&B"
MT0001309422,MT0001309422,Q3,Ernest Tubb,I'm With a Crowd But So Alone,Country
MT0001313815,MT0001313815,Q4,Bob Marley,Waiting in Vain,Reggae
MT0001318718,MT0001318718,Q1,Jackson Browne,Ready or Not,Pop/Rock
MT0001321861,MT0001321861,Q2,Young Jeezy,I Luv It,Rap
MT0001323755,MT0001323755,Q4,Tennessee Ernie Ford,His Hands,"Country,Religious"
MT0001331047,MT0001331047,Q3,Billie Holiday,How Am I to Know?,"Blues,Jazz,Vocal"
MT0001332899,MT0001332899,Q3,The Jayhawks,Will I See You in Heaven,"Country,Pop/Rock"
MT0001335920,MT0001335920,Q1,The Allman Brothers Band,Long Time Gone,"Country,Electronic,Pop/Rock"
MT0001347462,MT0001347462,Q4,The Brothers Four,Try to Remember,Folk
MT0001353828,MT0001353828,Q2,2Pac,Me Against the World,Rap
MT0001356476,MT0001356476,Q1,Bruce Springsteen,Pink Cadillac,Pop/Rock
MT0001356637,MT0001356637,Q3,Sonic Youth,Superstar,Pop/Rock
MT0001361436,MT0001361436,Q2,Megadeth,The Killing Road,Pop/Rock
MT0001362313,MT0001362313,Q3,Jimmy Bowen,Ever Lovin' Fingers,"Country,Pop/Rock"
MT0001368531,MT0001368531,Q4,Greg Brown,Cheapest Kind,"Country,Folk"
MT0001369981,MT0001369981,Q3,Billie Holiday,"Lover Man (Oh, Where Can You Be)","Jazz,Vocal"
MT0001370627,MT0001370627,Q4,James Yorkston,False True Love,"Folk,International"
MT0001372070,MT0001372070,Q3,Roger Miller,When Two Worlds Collide,"Nashville Sound/Countrypolitan,Country"
MT0001376988,MT0001376988,Q2,Crucifucks,Lights Over Baghdad,Pop/Rock
MT0001377616,MT0001377616,Q4,Moby,Sleep Alone,Electronic
MT0001377742,MT0001377742,Q2,Pungent Stench,Fear the Grand Inquisitor,"International,Pop/Rock"
MT0001380360,MT0001380360,Q2,Winter of Apokalypse,Solitary Winter Night,Pop/Rock
MT0001383277,MT0001383277,Q2,50 Cent,Ski Mask Way,Rap
MT0001385947,MT0001385947,Q3,Randy Travis,"Look Heart, No Hands",Country
MT0001395462,MT0001395462,Q3,Willie Nelson,American Tune,Country
MT0001397431,MT0001397431,Q2,Rage Against the Machine,Settle for Nothing,Pop/Rock
MT0001404677,MT0001404677,Q3,Billy Eckstine,Stormy Monday Blues,"Jazz,Vocal"
MT0001435061,MT0001435061,Q3,Michael Bloomfield,It's My Own Fault,"Blues,Pop/Rock"
MT0001436086,MT0001436086,Q4,Patti Page,I'll Never Smile Again,Vocal
MT0001453285,MT0001453285,Q3,Marvin Gaye,I Won't Cry Anymore,"Easy Listening,Jazz,Pop/Rock"
MT0001473110,MT0001473110,Q2,Ol' Dirty Bastard,Gettin' High,Rap
MT0001473158,MT0001473158,Q2,Snoop Dogg,Ride,Rap
MT0001477169,MT0001477169,Q4,Roy Acuff,It Won't Be Long (Till I'll Be Leaving),"Country,Religious"
MT0001486960,MT0001486960,Q1,The Staple Singers,Heavy Makes You Happy (Sha-Na-Boom-Boom),"Electronic,R&B"
MT0001494812,MT0001494812,Q4,New Edition,Can You Stand the Rain,"Electronic,Pop/Rock,R&B"
MT0001497786,MT0001497786,Q3,Cher,Rain Rain,Electronic
MT0001509368,MT0001509368,Q1,Whitesnake,Love Man,Pop/Rock
MT0001509615,MT0001509615,Q3,Paul Simon,Night Games,Pop/Rock
MT0001511433,MT0001511433,Q4,Bobbie Nelson,O Little Town of Bethlehem,"Country,Holiday"
MT0001514284,MT0001514284,Q1,T. Rex,Crimson Moon,Pop/Rock
MT0001515028,MT0001515028,Q4,Dolly Parton,She Believes in Me,"Country,Pop/Rock"
MT0001518335,MT0001518335,Q3,Trisha Yearwood,A Lover Is Forever,"Blues,Country,Pop/Rock"
MT0001521543,MT0001521543,Q1,Elmore James,Shake Your Moneymaker,Blues
MT0001523435,MT0001523435,Q3,Billie Holiday,I Gotta Right to Sing the Blues,"Blues,Jazz,Vocal"
MT0001528638,MT0001528638,Q4,Ken Lane Singers,Jingle Bells,"Holiday,Vocal"
MT0001531856,MT0001531856,Q1,"Harry Connick, Jr.",Something You Got,"Jazz,R&B"
MT0001531906,MT0001531906,Q4,Sam Cooke,The Last Mile of the Way,"R&B,Religious"
MT0001547111,MT0001547111,Q3,Tom Waits,It's Over,"Folk,Pop/Rock"
MT0001554870,MT0001554870,Q2,L7,Runnin' from the Law,Pop/Rock
MT0001566152,MT0001566152,Q3,Willie Nelson,Blue Hotel,"Country,Pop/Rock"
MT0001583214,MT0001583214,Q2,Seether,Fmlyhm,"Pop/Rock,Stage & Screen"
MT0001590201,MT0001590201,Q2,Queensrï¿½che,Gonna Get Close to You,Pop/Rock
MT0001590644,MT0001590644,Q2,Paint It Black,We Will Not,Pop/Rock
MT0001594582,MT0001594582,Q4,Maria Muldaur,I'll Be Your Baby Tonight,"Children's,Folk,Pop/Rock"
MT0001595082,MT0001595082,Q2,Cradle of Filth,Tonight in Flames,"Electronic,Pop/Rock"
MT0001608499,MT0001608499,Q3,Marilyn Manson,Count to Six and Die (The Vacuum of Infinite Space Encompassing),Pop/Rock
MT0001609615,MT0001609615,Q4,Lee Greenwood,You Can't Fall in Love When You're Cryin',"Country,Pop/Rock"
MT0001615005,MT0001615005,Q2,Silverstein,Worlds Apart,Pop/Rock
MT0001624303,MT0001624303,Q4,Rod Stewart,Thanks for the Memory,"Pop/Rock,Vocal"
MT0001634305,MT0001634305,Q3,Sonic Youth,JC,Pop/Rock
MT0001638394,MT0001638394,Q4,Natalie Cole,"His Eyes, Her Eyes","Jazz,Pop/Rock"
MT0001639011,MT0001639011,Q1,Ace of Base,Beautiful Life,"Electronic,Pop/Rock"
MT0001641165,MT0001641165,Q2,LL Cool J,Mama Said Knock You Out,Rap
MT0001644811,MT0001644811,Q4,Kelis,Glow,R&B
MT0001646256,MT0001646256,Q3,David Sylvian,Laughter & Forgetting,"Jazz,Pop/Rock"
MT0001648703,MT0001648703,Q2,Sonata Arctica,It Won't Fade,Pop/Rock
MT0001653728,MT0001653728,Q4,Johnny Cash,(There'll Be) Peace in the Valley,Country
MT0001658982,MT0001658982,Q3,Tom Waits,So It Goes,
MT0001661022,MT0001661022,Q4,Les Brown,The Christmas Song,"Holiday,Jazz,Vocal"
MT0001673884,MT0001673884,Q3,Jon Hendricks,Since I Fell for You,"Jazz,Vocal"
MT0001699798,MT0001699798,Q4,Mark Knopfler,Sailing to Philadelphia,"Folk,Pop/Rock"
MT0001729778,MT0001729778,Q4,Jennifer Lopez,The One,"Electronic,Latin,Pop/Rock,R&B"
MT0001738256,MT0001738256,Q2,Agnostic Front,Price You Pay,Pop/Rock
MT0001741017,MT0001741017,Q1,Elvis Presley,Find out What's Happening,"Pop/Rock,R&B"
MT0001757676,MT0001757676,Q1,Spike Jones,Barstool Cowboy from Old Barstow,"Comedy/Spoken,Jazz"
MT0001765726,MT0001765726,Q4,Il Divo,Somewhere,"Pop/Rock,Stage & Screen"
MT0001766004,MT0001766004,Q2,Nuclear Assault,Discharged Reason,Pop/Rock
MT0001770136,MT0001770136,Q1,David Bowie,"Bleed Like a Craze, Dad","Electronic,Pop/Rock"
MT0001779167,MT0001779167,Q2,Ozzy Osbourne,Gets Me Through,Pop/Rock
MT0001795697,MT0001795697,Q1,The Beach Boys,Drag City,Pop/Rock
MT0001801454,MT0001801454,Q2,DJ Paul,You Scared,Rap
MT0001810607,MT0001810607,Q3,Ziggy Marley,Long Winter,Reggae
MT0001829666,MT0001829666,Q1,Al Green,I Wanna Hold You,R&B
MT0001831738,MT0001831738,Q1,Kenny Chesney,I Finally Found Somebody,Country
MT0001832838,MT0001832838,Q4,Sinï¿½ad O'Connor,This Is to Mother You,Pop/Rock
MT0001835551,MT0001835551,Q2,Faith No More,Crack Hitler,Pop/Rock
MT0001839466,MT0001839466,Q3,Elvis Presley,The Girl I Never Loved,
MT0001841416,MT0001841416,Q3,Lightnin' Hopkins,Shotgun (Blues),Blues
MT0001852290,MT0001852290,Q2,Pungent Stench,Same Shit - Different Asshole,"International,Pop/Rock"
MT0001862892,MT0001862892,Q3,Maxine Brown,Put Yourself in My Place,"Pop/Rock,R&B"
MT0001889075,MT0001889075,Q2,The D.O.C.,The Grand Finale,Rap
MT0001889244,MT0001889244,Q1,The Jackson 5,Mama's Pearl,"Electronic,Pop/Rock,R&B"
MT0001891260,MT0001891260,Q3,Tom Waits,Looks Like I'm up Shit Creek Again,"Country,Pop/Rock"
MT0001899447,MT0001899447,Q3,Paul Brandt,That Hurts,Country
MT0001899867,MT0001899867,Q1,Mya,Free,R&B
MT0001920501,MT0001920501,Q3,Billie Holiday,Everybody's Laughing,"Blues,Jazz,Vocal"
MT0001927015,MT0001927015,Q1,James Brown,"Papa's Got a Brand New Bag, Pt. 1",R&B
MT0001927474,MT0001927474,Q4,Regina Belle,A Whole New World,"Pop/Rock,Stage & Screen"
MT0001927921,MT0001927921,Q2,A.C.,Being Ignorant Is Awesome,Pop/Rock
MT0001929641,MT0001929641,Q3,Jimmy Reed,Roll 'Em Pete,"Blues,R&B"
MT0001934410,MT0001934410,Q2,A.C.,You Play on a Softball Team,Pop/Rock
MT0001934726,MT0001934726,Q3,Jimmy Reed,You Got Me Crying,"Blues,R&B"
MT0001938929,MT0001938929,Q2,D.R.I.,"Stupid, Stupid War",Pop/Rock
MT0001942272,MT0001942272,Q4,Jim Brickman,Simple Things,"New Age,Pop/Rock"
MT0001943830,MT0001943830,Q4,Johnny Cash,The Way Worn Traveler,"Country,Pop/Rock,Religious"
MT0001949173,MT0001949173,Q4,Sade,Mermaid,"Pop/Rock,R&B"
MT0001954919,MT0001954919,Q4,Jim Brickman,What We Believe In,"New Age,Pop/Rock"
MT0001962373,MT0001962373,Q2,Void,Authority,Pop/Rock
MT0001963447,MT0001963447,Q2,Moonspell,Tenebrarum Oratorim (Andamento I),Pop/Rock
MT0001967655,MT0001967655,Q4,Jerry Jeff Walker,Mississippi You're on My Mind,"Country,Pop/Rock"
MT0001972380,MT0001972380,Q3,Dead Can Dance,I Can See Now,"Jazz,New Age,Pop/Rock"
MT0001972829,MT0001972829,Q3,Bonnie Raitt,The Bed I Made,"Blues,Pop/Rock"
MT0001978806,MT0001978806,Q2,A.C.,You Are an Orphan,Pop/Rock
MT0001980613,MT0001980613,Q4,Jonathan Edwards,Wheels,"Country,International"
MT0001988811,MT0001988811,Q3,Leonard Cohen,Leaving Greensleeves,"Folk,Pop/Rock"
MT0001992879,MT0001992879,Q2,Megadeth,Blood of Heroes,Pop/Rock
MT0002006203,MT0002006203,Q3,Ray Brown,Ill Wind,"Jazz,Vocal"
MT0002006862,MT0002006862,Q1,Fred Astaire,Bojangles of Harlem,"Stage & Screen,Vocal"
MT0002007417,MT0002007417,Q3,Marlene Dietrich,Falling in Love Again,Vocal
MT0002014752,MT0002014752,Q4,Norah Jones,Nightingale,"Jazz,Vocal"
MT0002024101,MT0002024101,Q2,The Bronx,Kill My Friends,Pop/Rock
MT0002024741,MT0002024741,Q4,Smokey Robinson,One Heartbeat,"Pop/Rock,R&B"
MT0002034238,MT0002034238,Q1,Joss Stone,Fell in Love With a Boy,"Pop/Rock,R&B"
MT0002054074,MT0002054074,Q4,Amy Grant,Like I Love You,"Pop/Rock,Religious"
MT0002057142,MT0002057142,Q3,The Creatures,Don't Go to Sleep Without Me,Pop/Rock
MT0002060109,MT0002060109,Q3,k.d. lang,I Dream of Spring,"Country,Pop/Rock"
MT0002068648,MT0002068648,Q1,Bruce Springsteen,TV Movie,Pop/Rock
MT0002078701,MT0002078701,Q1,Carole King,Screaming and Yelling,"Pop/Rock,Stage & Screen"
MT0002087541,MT0002087541,Q3,Siouxsie and the Banshees,Not Forgotten,Pop/Rock
MT0002088249,MT0002088249,Q1,Roxy Music,Flesh and Blood,"International,Pop/Rock"
MT0002099419,MT0002099419,Q2,Brand Nubian,The Travel Jam,Rap
MT0002113056,MT0002113056,Q1,The Andrews Sisters,Ac-Cent-Tchu-Ate the Positive,Vocal
MT0002132088,MT0002132088,Q4,Mariah Carey,Fourth of July,"Electronic,Pop/Rock,R&B"
MT0002139311,MT0002139311,Q1,Rick Astley,No More Looking for Love,"Electronic,Pop/Rock"
MT0002142155,MT0002142155,Q3,Ella Fitzgerald,The Man That Got Away,"Jazz,Vocal"
MT0002169629,MT0002169629,Q2,Lost in Tears,Soul in Flames,"Electronic,International,Pop/Rock"
MT0002177145,MT0002177145,Q1,Paul McCartney,Getting Closer,"Electronic,Pop/Rock"
MT0002179342,MT0002179342,Q1,Kirk Franklin,Stomp,Religious
MT0002193996,MT0002193996,Q4,Aaron Neville,It's All Right,"Pop/Rock,R&B"
MT0002216668,MT0002216668,Q4,Diana Ross,Endless Love,R&B
MT0002219182,MT0002219182,Q1,Elvis Presley,Just Because,"Country,Pop/Rock"
MT0002222944,MT0002222944,Q2,Zug Izland,Synplicity,"Pop/Rock,Rap"
MT0002225477,MT0002225477,Q2,Mobb Deep,Survival of the Fittest,"Gangsta Rap,East Coast Rap,Hardcore Rap,Rap"
MT0002238737,MT0002238737,Q4,Chris Rea,Nothings Happening by The,"Easy Listening,Pop/Rock"
MT0002239079,MT0002239079,Q2,DMX,Ruff Ryders' Anthem,Rap
MT0002250135,MT0002250135,Q3,Great Lake Swimmers,Great Lake Swimmers,Pop/Rock
MT0002252353,MT0002252353,Q2,Gravediggaz,From the Dark Side,"Rap,Stage & Screen"
MT0002277261,MT0002277261,Q3,Wolf Parade,Dinner Bells,Pop/Rock
MT0002291660,MT0002291660,Q2,The Oppressed,We're the Oppressed,Pop/Rock
MT0002294387,MT0002294387,Q1,Madonna,Deeper and Deeper [Album Edit],"Electronic,Pop/Rock"
MT0002298774,MT0002298774,Q2,Dimmu Borgir,Hybrid Stigmata-The Apostasy,Pop/Rock
MT0002307435,MT0002307435,Q3,Alphaville,She Fades Away,Pop/Rock
MT0002316145,MT0002316145,Q2,Ice-T,Colors,Rap
MT0002325544,MT0002325544,Q3,The Everly Brothers,It's All Over,"Country,Pop/Rock"
MT0002336535,MT0002336535,Q3,Eartha Kitt,Avril au Portugal,"Pop/Rock,Vocal"
MT0002343207,MT0002343207,Q1,Prince,Kiss,"Electronic,R&B"
MT0002347246,MT0002347246,Q1,De La Soul,Baby Baby Baby Baby Ooh Baby,Rap
MT0002351905,MT0002351905,Q1,Garth Brooks,Ain't Going Down (Til the Sun Comes Up),Country
MT0002355423,MT0002355423,Q4,Tracy Chapman,Unsung Psalm,"Folk,Pop/Rock"
MT0002359628,MT0002359628,Q4,Heart,Dog & Butterfly,Pop/Rock
MT0002360219,MT0002360219,Q1,The Beach Boys,Keepin' the Summer Alive,Pop/Rock
MT0002362108,MT0002362108,Q1,Woody Herman,Caldonia (What Makes Your Big Head So Hard?),Jazz
MT0002366291,MT0002366291,Q1,Madonna,Deeper and Deeper [Shep's Fierce Deeper Dub],"Electronic,Pop/Rock"
MT0002371970,MT0002371970,Q4,Joanna Newsom,"""En Gallop""","Folk,Pop/Rock"
MT0002372242,MT0002372242,Q2,Dr. Dre,A Nigga Witta Gun,Rap
MT0002390941,MT0002390941,Q3,Bob Dylan,Disease of Conceit,Pop/Rock
MT0002396250,MT0002396250,Q2,Babes in Toyland,Sometimes,Pop/Rock
MT0002397625,MT0002397625,Q4,Herb Alpert,"Promises, Promises","Easy Listening,Pop/Rock"
MT0002399275,MT0002399275,Q2,D.R.I.,Broke,Pop/Rock
MT0002438908,MT0002438908,Q4,Sam Cooke,Were You There?,"R&B,Religious"
MT0002460914,MT0002460914,Q2,Das EFX,Knockin' Niggaz Off,Rap
MT0002472723,MT0002472723,Q1,Micky Dolenz,"That Was Then, This Is Now",Pop/Rock
MT0002477987,MT0002477987,Q3,Woody Guthrie,Columbus Stockade,Folk
MT0002485672,MT0002485672,Q3,Fennesz,Transit,"Avant-Garde,Electronic,Pop/Rock"
MT0002510318,MT0002510318,Q3,Mï¿½m,Green Grass of Tunnel,"Electronic,Pop/Rock"
MT0002515172,MT0002515172,Q4,Ella Fitzgerald,O Little Town of Bethlehem,"Holiday,Pop/Rock,Vocal"
MT0002532237,MT0002532237,Q1,Spike Jones,Big Bad Bill,"Comedy/Spoken,Jazz"
MT0002538335,MT0002538335,Q1,Beenie Man,Red Red,Reggae
MT0002541988,MT0002541988,Q4,Ella Fitzgerald,How Deep Is the Ocean?,"Jazz,Vocal"
MT0002549047,MT0002549047,Q3,Aretha Franklin,Going Down Slow,R&B
MT0002549944,MT0002549944,Q2,P.O.S,The Kill in Me,"Pop/Rock,Rap"
MT0002580064,MT0002580064,Q3,Johnny Winter,Early in the Morning,"Blues,Pop/Rock"
MT0002585767,MT0002585767,Q3,The Davis Sisters,I Forgot More Than You'll Ever Know,Country
MT0002591418,MT0002591418,Q4,Jim Brickman,By Heart,"New Age,Pop/Rock"
MT0002595792,MT0002595792,Q1,Spike Jones,The Sheik of Araby,"Comedy/Spoken,Jazz"
MT0002602057,MT0002602057,Q2,JFA,American Buttfuckers,Pop/Rock
MT0002604697,MT0002604697,Q3,Michael Franks,Like Moon Behind A Cloud,"Jazz,Vocal"
MT0002621498,MT0002621498,Q2,Dimmu Borgir,Architecture of a Genocidal Nature,Pop/Rock
MT0002634024,MT0002634024,Q3,Ken Boothe,Is It Because I'm Black?,"R&B,Reggae"
MT0002638821,MT0002638821,Q4,Heart,Love Alive,Pop/Rock
MT0002645049,MT0002645049,Q1,Paul Simon,Shoplifting Clothes,"Pop/Rock,R&B,Stage & Screen"
MT0002655864,MT0002655864,Q2,Rage Against the Machine,Vietnow,Pop/Rock
MT0002659854,MT0002659854,Q4,Lonestar,Reason for the Season,"Country,Holiday"
MT0002672499,MT0002672499,Q1,The Isley Brothers,Twist and Shout,"Pop/Rock,R&B"
MT0002675791,MT0002675791,Q4,Elvis Presley,Welcome to My World,"Country,Pop/Rock,Vocal"
MT0002698827,MT0002698827,Q4,Johnny Cash,The Lily of the Valley,"Country,Pop/Rock,Religious"
MT0002700026,MT0002700026,Q1,Ricky Martin,Spanish Eyes,"Latin,Pop/Rock"
MT0002709704,MT0002709704,Q1,*NSYNC,Bye Bye Bye,"Electronic,Pop/Rock"
MT0002714093,MT0002714093,Q3,Reba McEntire,She Can't Save Him,"Country,Pop/Rock"
MT0002716927,MT0002716927,Q4,Billy Bragg,California Stars,"Folk,Pop/Rock"
MT0002737189,MT0002737189,Q2,Beastie Boys,Time for Livin',"Electronic,Pop/Rock,Rap"
MT0002739845,MT0002739845,Q2,Hï¿½sker Dï¿½,Everything Falls Apart,Pop/Rock
MT0002760912,MT0002760912,Q3,Baxter,Television,Electronic
MT0002761408,MT0002761408,Q2,Lost in Tears,Beauty from the Past,"Electronic,International,Pop/Rock"
MT0002762445,MT0002762445,Q1,Rush,Take a Friend,"Electronic,Pop/Rock"
MT0002771537,MT0002771537,Q3,Mariah Carey,I Only Wanted,R&B
MT0002784741,MT0002784741,Q3,Blake Shelton,I Drink,Country
MT0002803746,MT0002803746,Q4,Lena Horne,Tomorrow Mountain,"Jazz,Vocal"
MT0002810052,MT0002810052,Q2,Megadeth,Victory,Pop/Rock
MT0002840704,MT0002840704,Q1,Jay-Z,She's Coming Home With Me,"Electronic,Rap"
MT0002844771,MT0002844771,Q3,Martina McBride,Some Say I'm Running,"Country,Electronic,Pop/Rock"
MT0002846256,MT0002846256,Q4,Cï¿½line Dion,Miracle,"Children's,Pop/Rock"
MT0002858390,MT0002858390,Q4,Tony Bennett,Santa Claus Is Coming to Town,"Holiday,Jazz,Vocal"
MT0002859848,MT0002859848,Q4,Jim Brickman,Your Love,New Age
MT0002875103,MT0002875103,Q2,Lifetime,I Like You Ok,Pop/Rock
MT0002894033,MT0002894033,Q1,Garth Brooks,Beer Run,Country
MT0002903697,MT0002903697,Q4,Jimmy Buffett,Blue Heaven Rendezvous,Pop/Rock
MT0002905185,MT0002905185,Q3,Lightnin' Hopkins,Long Time,Blues
MT0002907679,MT0002907679,Q1,Rick Astley,Don't Say Goodbye,"Electronic,Pop/Rock"
MT0002909109,MT0002909109,Q1,The Commitments,Mustang Sally,R&B
MT0002915967,MT0002915967,Q3,Billie Holiday,Billie's Blues,"Jazz,Vocal"
MT0002920876,MT0002920876,Q4,Jimmy Buffett,Tonight I Just Need My Guitar,Pop/Rock
MT0002928993,MT0002928993,Q3,Guitar Slim,Quicksand,"Blues,R&B"
MT0002939380,MT0002939380,Q2,Rage Against the Machine,Without a Face,Pop/Rock
MT0002951872,MT0002951872,Q1,Elvis Costello,Wonder Woman,"Blues,Pop/Rock"
MT0002960288,MT0002960288,Q4,Dolly Parton,He's Alive,"Country,Religious"
MT0002962258,MT0002962258,Q1,Beastie Boys,Body Movin',"Pop/Rock,Rap"
MT0002969144,MT0002969144,Q4,Ella Fitzgerald,All Through the Night,"Jazz,Vocal"
MT0002980543,MT0002980543,Q4,The Pogues,Old Main Drag,"Electronic,Folk,Pop/Rock"
MT0002986568,MT0002986568,Q3,Robin Lane & The Chartbusters,When Things Go Wrong,Pop/Rock
MT0002999366,MT0002999366,Q1,Eric Clapton,Good Morning Little Schoolgirl,"Blues,Pop/Rock"
